Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2022-06-12;30,9621;;m³/s;1;1;41340000;ANA
2022-06-13;31,7603;;m³/s;1;1;41340000;ANA
2022-06-14;31,2274;;m³/s;1;1;41340000;ANA
2022-06-15;31,4935;;m³/s;1;1;41340000;ANA
2022-06-16;31,2274;;m³/s;1;1;41340000;ANA
2022-06-17;30,4337;;m³/s;1;1;41340000;ANA
2022-06-18;30,1706;;m³/s;1;1;41340000;ANA
2022-06-19;30,6975;;m³/s;1;1;41340000;ANA
2022-06-20;29,6467;;m³/s;1;1;41340000;ANA
2022-06-21;29,9082;1.0;m³/s;1;1;41340000;ANA
2022-06-22;30,4337;;m³/s;1;1;41340000;ANA
2022-06-23;29,9082;;m³/s;1;1;41340000;ANA
2022-06-24;29,3858;;m³/s;1;1;41340000;ANA
2022-06-25;28,8665;;m³/s;1;1;41340000;ANA
2022-06-26;29,6467;;m³/s;1;1;41340000;ANA
2022-06-27;29,1258;;m³/s;1;1;41340000;ANA
2022-06-28;29,3858;;m³/s;1;1;41340000;ANA
2022-06-29;29,1258;;m³/s;1;1;41340000;ANA
2022-06-30;29,1258;;m³/s;1;1;41340000;ANA
2022-05-01;0.0;34,1946;m³/s;1;1;41340000;ANA
2022-05-02;36,6872;1.0;m³/s;1;1;41340000;ANA
2022-05-03;34,1946;1.0;m³/s;1;1;41340000;ANA
2022-05-04;33,9212;1.0;m³/s;1;1;41340000;ANA
2022-05-05;33,9212;1.0;m³/s;1;1;41340000;ANA
2022-05-06;121,1611;1.0;m³/s;1;1;41340000;ANA
2022-05-07;101,4101;1.0;m³/s;1;1;41340000;ANA
2022-05-08;64,216;1.0;m³/s;1;1;41340000;ANA
2022-05-09;49,3601;1.0;m³/s;1;1;41340000;ANA
2022-05-10;44,5012;1.0;m³/s;1;1;41340000;ANA
2022-05-11;41,8417;1.0;m³/s;1;1;41340000;ANA
2022-05-12;39,8108;1.0;m³/s;1;1;41340000;ANA
2022-05-13;39,5234;1.0;m³/s;1;1;41340000;ANA
2022-05-14;38,3806;1.0;m³/s;1;1;41340000;ANA
2022-05-15;38,0966;1.0;m³/s;1;1;41340000;ANA
